Sensor 1,Sensor 2,Sensor 3,Sensor 4,Room,AccX,AccY,AccZ
-100,-100,-100,-63.2,4,0.3975,0.31375,0.875
-91,-100,-100,-65.8,4,0.38813,0.3125,0.87562
-100,-100,-100,-67.333,4,0.40417,0.3125,0.875
-100,-100,-100,-65,4,0.39,0.31125,0.875
-100,-100,-92,-62.667,4,0.375,0.3125,0.875
-101,-100,-100,-65,4,0.39167,0.3125,0.875
-74.667,-100,-29.5,-97,3,0.91493,0.28299,-0.072569
-81.25,-100,-45.6,-87,3,0.915,0.28427,-0.079896
-82.5,-100,-37,-97,3,0.90937,0.27521,-0.087604
-80,-100,-45,-83.5,3,0.92535,0.28628,-0.15885
-70.6,-100,-69.2,-86,3,0.90042,0.22333,-0.070833
-79.75,-100,-77,-100,3,1.0438,-0.10938,-0.15937
-82.667,-100,-67.8,-100,3,0.7375,0.14396,0.53687
-81.667,-100,-69,-100,3,0.015278,0.62708,0.74931
-86,-100,-65.667,-88,3,-0.01875,0.79705,0.45382
-81,-100,-78.8,-100,3,0.15292,-0.19917,-0.9225
-88,-100,-74.75,-87,3,0.12865,-0.065104,-0.91771
-87.75,-100,-73.667,-100,3,0.11536,-0.0625,-0.92396
-89.75,-100,-78.2,-100,3,0.11188,-0.0575,-0.92359
-85,-100,-72,-93.5,3,0.10868,-0.057292,-0.92205
-90,-100,-75.2,-90,3,0.10073,-0.074167,-0.91812
-84.2,-100,-75.333,-100,3,0.090417,-0.09625,-0.92375
-89,-100,-72,-92.667,3,0.13403,-0.15417,-0.90764
-86.75,-100,-70.333,-92.5,3,0.15851,-0.11198,-0.92049
-83.5,-100,-72,-83,3,0.1625,-0.066146,-0.91667
-79.25,-100,-70.5,-95.75,3,0.15781,-0.0875,-0.91823
-83.2,-100,-69,-84,3,0.15625,-0.1,-0.91083
-82.4,-100,-72.4,-85,3,0.15625,-0.125,-0.90875
-84.75,-100,-73.25,-92.5,3,0.15625,-0.12344,-0.91146
-87,-100,-75,-98,3,0.15625,-0.12031,-0.90729
-89.25,-100,-70.8,-92,3,0.15625,-0.12313,-0.90625
-85.25,-100,-68.333,-91.5,3,0.15625,-0.11875,-0.90903
-80.333,-100,-75.8,-100.5,3,0.15625,-0.11778,-0.91035
-87,-100,-74,-94.667,3,0.15625,-0.11667,-0.90747
-83,-100,-69.5,-90.5,3,0.15469,-0.11719,-0.9125
-82.333,-100,-80,-100,3,0.12734,-0.10417,-0.91719
-91.333,-100,-74,-92,3,0.13437,-0.16111,-0.91215
-84,-100,-66.2,-89.25,3,0.2151,-0.34448,-0.80979
-83,-100,-76.5,-85,3,-0.47917,-0.32274,0.8283
-87,-100,-70.75,-82,3,-0.40174,-0.16476,0.91667
